,Week,CRN,Subject,Course Name,Student ID,Remote Learner,Mon,Tue,Wed,Thu,Fri,Sat,Sun
0,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,6b8f74,No,,REM Yes,,,REM Yes,,
1,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,6b8f74,No,,REM Yes,,,REM Yes,,
2,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,6b8f74,No,,REM Yes,,,REM Yes,,
3,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,6b8f74,No,,INP No,,,INP No,,
4,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,6b8f74,No,,REM Yes,,,REM Yes,,
5,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,6b8f74,No,,REM Yes,,,REM Yes,,
6,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,6b8f74,No,,REM Yes,,,REM Yes,,
7,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,6b8f74,No,,REM Yes,,,REM Yes,,
8,03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,f38977,No,,REM Yes,,,REM Yes,,
9,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,f38977,No,,INP No,,,INP No,,
10,01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,f38977,No,,INP No,,,INP No,,
11,02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,f38977,No,,INP Yes,,,INP Yes,,
12,02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,f38977,No,,REM Yes,,,REM Yes,,
13,02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,f38977,No,,INP Yes,,,INP Yes,,
14,02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,f38977,No,,INP Yes,,,INP Yes,,
15,03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,f38977,No,,REM Yes,,,REM Yes,,
16,03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,bad630,No,,INP Yes,,,INP Yes,,
17,01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,bad630,No,,INP No,,,INP No,,
18,02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,bad630,No,,INP No,,,INP No,,
19,03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,bad630,No,,INP No,,,INP No,,
20,02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,bad630,No,,INP No,,,INP No,,
21,02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,bad630,No,,INP No,,,INP No,,
22,01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,bad630,No,,INP No,,,INP No,,
23,02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,bad630,No,,INP No,,,INP No,,
24,01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,f9290e,No,,INP No,,,INP No,,
