Week,CRN,Subject,Course Name,Student ID,Remote Learner,Mon,Tue,Wed,Thu,Fri,Sat,Sun
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,417693032,No,,REM Yes,,,REM Yes,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,417693032,No,,REM Yes,,,REM Yes,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,417693032,No,,REM Yes,,,REM Yes,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,417693032,No,,INP No,,,INP No,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,417693032,No,,REM Yes,,,REM Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,417693032,No,,REM Yes,,,REM Yes,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,417693032,No,,REM Yes,,,REM Yes,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,417693032,No,,REM Yes,,,REM Yes,,
03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,243580377,No,,REM Yes,,,REM Yes,,
01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,243580377,No,,INP No,,,INP No,,
01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,243580377,No,,INP No,,,INP No,,
02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,243580377,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,243580377,No,,REM Yes,,,REM Yes,,
02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,243580377,No,,INP Yes,,,INP Yes,,
02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,243580377,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,243580377,No,,REM Yes,,,REM Yes,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,987744431,No,,INP Yes,,,INP Yes,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,987744431,No,,INP No,,,INP No,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,987744431,No,,INP No,,,INP No,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,987744431,No,,INP No,,,INP No,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,987744431,No,,INP No,,,INP No,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,987744431,No,,INP No,,,INP No,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,987744431,No,,INP No,,,INP No,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,987744431,No,,INP No,,,INP No,,
01/18/2021-01/24/2021,35213,DS,Foundations of Data Science,636393365,No,,INP No,,,INP No,,
02/08/2021-02/14/2021,35213,DS,Foundations of Data Science,636393365,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35213,DS,Foundations of Data Science,636393365,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35213,DS,Foundations of Data Science,636393365,No,,INP Yes,,,INP Yes,,
01/25/2021-01/31/2021,35213,DS,Foundations of Data Science,636393365,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35213,DS,Foundations of Data Science,636393365,No,,INP Yes,,,INP Yes,,
03/08/2021-03/14/2021,35213,DS,Foundations of Data Science,636393365,No,,INP Yes,,,INP Yes,,
02/15/2021-02/21/2021,35213,DS,Foundations of Data Science,636393365,No,,INP Yes,,,INP Yes,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,515770817,No,,INP Yes,,,INP Yes,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,515770817,No,,INP No,,,INP No,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,515770817,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,515770817,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,515770817,No,,INP Yes,,,INP Yes,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,515770817,No,,INP Yes,,,INP Yes,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,515770817,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,515770817,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,768281748,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,768281748,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,768281748,No,,INP No,,,INP No,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,768281748,No,,INP Yes,,,INP Yes,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,768281748,No,,INP No,,,INP No,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,768281748,No,,INP No,,,INP No,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,768281748,No,,INP Yes,,,INP Yes,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,768281748,No,,INP Yes,,,INP No,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,37003809,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,37003809,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,37003809,No,,INP Yes,,,INP Yes,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,37003809,No,,INP Yes,,,INP Yes,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,37003809,No,,INP No,,,INP No,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,37003809,No,,INP No,,,INP No,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,37003809,No,,INP No,,,INP No,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,37003809,No,,INP Yes,,,INP Yes,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,885408952,Yes,,REM Yes,,,REM Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,885408952,Yes,,REM Yes,,,REM Yes,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,885408952,Yes,,REM Yes,,,REM Yes,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,885408952,Yes,,REM Yes,,,REM Yes,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,885408952,Yes,,REM Yes,,,REM Yes,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,885408952,Yes,,REM Yes,,,REM Yes,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,885408952,Yes,,REM Yes,,,REM Yes,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,885408952,Yes,,REM Yes,,,REM Yes,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,481447463,No,,INP Yes,,,INP Yes,,
01/18/2021-01/24/2021,35214,DS,Foundations of Data Science,481447463,No,,INP Yes,,,INP Yes,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,481447463,No,,INP Yes,,,INP Yes,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,481447463,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,481447463,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,481447463,No,,INP Yes,,,INP Yes,,
02/08/2021-02/14/2021,35214,DS,Foundations of Data Science,481447463,No,,INP Yes,,,INP Yes,,
01/25/2021-01/31/2021,35214,DS,Foundations of Data Science,481447463,No,,INP Yes,,,INP Yes,,
02/01/2021-02/07/2021,35214,DS,Foundations of Data Science,858778667,No,,INP No,,,INP No,,
02/15/2021-02/21/2021,35214,DS,Foundations of Data Science,858778667,No,,INP No,,,INP No,,
02/22/2021-02/28/2021,35214,DS,Foundations of Data Science,858778667,No,,INP Yes,,,INP Yes,,
03/01/2021-03/07/2021,35214,DS,Foundations of Data Science,858778667,No,,INP Yes,,,INP Yes,,
03/08/2021-03/14/2021,35214,DS,Foundations of Data Science,858778667,No,,INP No,,,INP Yes,,
